Age,Job,Marital,Education,Default,Annual Balance,Loan (Housing loan / Personal loan),Last Contact Duration,# Contacts Currently,# Contacts Previously,Days Since Last Contacted,Outcomes for Previous Marketing Campaign,Predicted Subscription for Current Campaign
45,management,married,secondary,no,4425,--,147,1,2,110,failure,no
43,technician,divorced,secondary,no,-36,H-,190,1,1,104,failure,no
43,technician,married,secondary,no,0,-P,103,2,3,193,failure,no
55,entrepreneur,divorced,tertiary,no,1730,--,89,2,3,118,failure,no
49,services,married,secondary,no,202,H-,651,2,1,104,failure,yes
49,entrepreneur,married,tertiary,no,313,H-,42,2,2,188,failure,no
39,blue-collar,single,primary,no,419,H-,186,1,1,181,failure,no
42,technician,married,tertiary,no,14282,H-,77,1,4,103,success,no
42,services,married,secondary,no,1048,H-,71,1,1,186,failure,no
41,technician,married,secondary,no,112,H-,1081,1,1,131,failure,no
51,technician,married,secondary,no,563,H-,504,1,3,123,failure,no
36,blue-collar,married,secondary,no,1797,HP,166,1,2,181,failure,no
52,technician,married,tertiary,no,3440,H-,124,1,1,131,failure,no
42,entrepreneur,married,tertiary,no,373,--,174,1,3,154,failure,no
45,technician,married,secondary,no,2020,H-,62,1,1,131,failure,no
35,entrepreneur,married,secondary,no,24,H-,128,1,1,181,failure,no
38,management,married,tertiary,no,425,H-,240,1,1,181,failure,no
47,technician,married,secondary,no,80,-P,74,1,1,145,failure,no
43,self-employed,married,secondary,no,634,H-,65,1,1,131,failure,no
42,unemployed,married,unknown,no,970,H-,725,1,10,119,success,no
50,management,married,tertiary,no,830,--,71,1,2,138,failure,no
54,services,married,secondary,no,2719,H-,166,2,2,171,failure,no
44,unemployed,married,secondary,no,0,H-,58,1,2,195,failure,no
51,management,married,tertiary,no,248,HP,139,2,3,126,failure,no
51,technician,married,secondary,no,12061,H-,150,1,1,188,failure,no
42,technician,single,secondary,no,-15,--,89,1,1,145,failure,no
46,services,divorced,secondary,no,0,--,407,1,3,150,success,no
50,management,married,tertiary,no,4,--,223,1,2,96,failure,no
58,unknown,divorced,secondary,no,3111,H-,111,1,2,188,failure,no
44,management,married,tertiary,no,1451,H-,157,3,12,150,failure,no
41,unemployed,married,primary,no,557,H-,158,1,1,173,failure,no
37,management,single,tertiary,no,600,H-,116,2,1,196,failure,no
53,admin.,married,secondary,no,350,-P,113,3,2,132,failure,no
53,self-employed,married,secondary,no,248,-P,99,1,3,126,failure,no
52,technician,married,secondary,no,1818,-P,189,2,4,111,failure,no
36,management,divorced,tertiary,no,3837,H-,184,1,1,193,success,no
37,admin.,married,tertiary,no,0,H-,65,2,1,119,failure,no
44,management,married,tertiary,no,58,H-,48,1,3,126,failure,no
32,admin.,married,secondary,no,0,HP,159,2,2,195,failure,no
41,management,married,tertiary,no,20,H-,99,1,2,151,failure,no
37,services,married,secondary,yes,-954,H-,69,1,3,180,failure,no
43,housemaid,married,primary,no,0,-P,836,1,2,129,failure,no
51,blue-collar,married,primary,no,230,H-,174,1,1,195,failure,no
56,management,married,tertiary,no,505,HP,171,1,2,172,failure,no
38,technician,married,secondary,no,821,HP,224,2,1,180,failure,no
42,technician,married,primary,no,275,--,295,2,9,109,failure,no
34,management,single,tertiary,no,1049,H-,101,2,1,129,failure,no
51,blue-collar,married,secondary,no,1414,H-,422,3,2,186,failure,no
38,blue-collar,married,primary,no,0,H-,78,2,2,193,failure,no
38,management,single,tertiary,no,11971,H-,609,2,3,101,failure,no
53,retired,married,tertiary,no,2269,--,1091,2,1,150,success,yes
41,blue-collar,married,secondary,no,271,H-,148,2,2,172,failure,no
48,management,divorced,tertiary,no,-478,H-,87,5,6,167,failure,no
54,management,married,tertiary,no,3795,HP,227,2,1,119,failure,no
55,entrepreneur,married,secondary,no,653,H-,193,2,1,186,failure,no
38,technician,single,secondary,no,1255,H-,151,2,2,171,failure,no
50,technician,divorced,secondary,no,-403,-P,130,2,2,119,failure,no
42,unemployed,married,primary,no,2636,--,178,2,1,151,failure,no
40,housemaid,married,secondary,no,1029,HP,117,2,3,117,failure,no
57,management,married,secondary,no,1502,--,340,2,11,109,failure,no
30,technician,single,secondary,no,426,H-,127,4,6,111,failure,no
56,management,single,secondary,no,237,H-,117,3,4,131,failure,no
39,technician,married,secondary,no,8,-P,333,2,2,96,failure,no
43,services,divorced,secondary,no,1043,H-,57,4,3,119,failure,no
42,services,married,secondary,no,1027,H-,188,2,2,168,failure,no
44,management,married,tertiary,no,724,H-,157,2,1,172,failure,no
36,blue-collar,married,secondary,no,0,H-,273,2,1,131,failure,no
40,unemployed,married,secondary,no,219,H-,204,2,1,196,failure,no
48,technician,married,unknown,no,2106,H-,499,2,1,195,failure,no
43,management,married,tertiary,no,2767,H-,374,1,7,186,failure,no
40,technician,married,secondary,no,1269,H-,353,1,1,172,failure,no
56,services,married,secondary,no,1150,-P,107,1,3,117,failure,no
37,technician,married,secondary,no,5115,H-,1210,2,4,171,failure,yes
56,management,single,tertiary,no,1092,HP,176,3,4,186,failure,no
37,management,married,secondary,no,121,-P,211,2,2,151,failure,no
58,blue-collar,divorced,secondary,no,644,-P,220,4,4,109,failure,no
45,entrepreneur,married,secondary,no,781,-P,652,2,2,126,failure,yes
50,technician,married,secondary,no,0,H-,114,4,2,168,failure,no
44,technician,divorced,secondary,no,106,H-,17,1,1,175,failure,no
40,blue-collar,married,secondary,no,755,--,408,1,1,117,failure,no
43,technician,married,tertiary,no,1201,HP,82,1,3,97,failure,no
40,self-employed,married,tertiary,no,3059,HP,41,1,1,182,failure,no
36,housemaid,married,primary,no,4324,H-,139,4,4,127,failure,no
44,management,married,tertiary,no,756,H-,65,1,2,130,failure,no
37,blue-collar,married,secondary,no,723,H-,119,1,2,110,failure,no
37,technician,married,secondary,no,195,H-,68,1,2,194,failure,no
42,entrepreneur,married,tertiary,no,2249,H-,228,1,5,125,failure,no
53,technician,married,secondary,no,137,-P,52,1,1,176,failure,no
44,technician,married,secondary,no,10888,H-,67,1,1,105,failure,no
41,admin.,married,secondary,no,4320,H-,164,1,2,166,failure,no
41,blue-collar,married,primary,no,1461,H-,290,1,2,165,success,no
45,technician,single,unknown,no,7108,HP,53,1,3,172,failure,no
48,management,married,secondary,no,4415,H-,271,1,6,102,failure,no
56,technician,married,secondary,no,589,H-,208,1,3,26,success,no
36,blue-collar,married,unknown,no,722,H-,242,1,2,182,failure,no
42,admin.,single,secondary,no,-247,HP,104,2,2,28,success,no
37,technician,married,secondary,no,0,H-,173,1,6,179,failure,no
35,management,single,secondary,no,5260,H-,59,1,2,182,failure,no
33,technician,single,secondary,no,1769,H-,273,1,1,182,failure,no
46,management,married,tertiary,no,4301,HP,50,1,2,183,failure,no
46,technician,married,secondary,no,68,HP,111,2,3,155,failure,no
36,admin.,divorced,secondary,no,454,H-,165,1,1,131,failure,no
32,blue-collar,single,secondary,no,53,H-,276,1,1,195,failure,no
38,management,single,tertiary,no,1515,H-,134,1,5,110,failure,no
37,housemaid,single,tertiary,no,561,--,188,1,2,165,failure,no
59,entrepreneur,married,secondary,no,2429,-P,79,2,7,182,failure,no
40,services,divorced,secondary,no,1155,-P,175,1,1,138,failure,no
59,blue-collar,married,primary,no,14,HP,319,2,1,182,failure,no
36,management,single,tertiary,no,0,-P,300,1,4,96,failure,no
51,blue-collar,married,primary,no,1194,H-,714,1,3,186,failure,no
45,blue-collar,single,secondary,no,91,-P,149,1,2,127,failure,no
38,management,single,tertiary,no,427,H-,253,1,1,182,failure,no
42,blue-collar,married,secondary,no,1958,H-,129,1,3,172,failure,no
30,technician,single,tertiary,no,3,H-,54,1,1,195,failure,no
51,self-employed,married,tertiary,no,146,--,150,2,3,126,failure,no
37,management,married,tertiary,no,3770,H-,106,1,4,110,failure,no
41,services,married,secondary,no,446,H-,296,1,1,186,success,no
30,technician,single,secondary,no,4787,H-,266,1,2,167,failure,no
36,technician,married,secondary,no,1345,H-,82,1,3,172,failure,no
58,management,married,tertiary,no,0,H-,265,1,1,188,failure,no
42,blue-collar,married,primary,no,2273,H-,253,1,2,112,failure,no
41,blue-collar,married,secondary,no,1100,H-,397,1,2,173,failure,no
43,technician,married,secondary,no,764,H-,164,5,5,127,failure,no
48,services,married,secondary,no,2877,H-,77,1,1,168,failure,no
30,technician,single,secondary,yes,-305,-P,37,1,6,96,failure,no
43,technician,single,secondary,yes,685,H-,78,1,2,110,failure,no
34,admin.,single,secondary,no,10,-P,162,1,3,173,failure,no
44,management,married,primary,no,1880,H-,34,1,6,124,failure,no
36,management,married,tertiary,no,0,H-,103,1,2,175,failure,no
33,blue-collar,married,secondary,no,596,H-,77,1,3,127,failure,no
47,admin.,married,secondary,no,829,HP,48,1,1,188,failure,no
47,blue-collar,married,secondary,no,3237,H-,38,1,3,187,failure,no
35,technician,married,secondary,no,222,H-,233,1,6,190,failure,no
39,admin.,married,secondary,no,3732,H-,515,1,2,181,failure,no
39,self-employed,married,tertiary,no,585,H-,48,1,3,181,failure,no
31,services,single,secondary,no,2038,H-,239,1,1,182,failure,no
37,unemployed,single,tertiary,no,1316,H-,389,1,2,172,failure,no
50,technician,married,secondary,no,-353,HP,162,1,2,175,failure,no
39,management,divorced,tertiary,no,5009,H-,255,1,2,126,failure,no
56,admin.,divorced,secondary,no,0,--,100,1,2,154,failure,no
30,admin.,divorced,secondary,no,83,HP,118,2,1,196,failure,no
53,entrepreneur,married,unknown,no,19850,--,52,1,1,165,failure,no
45,blue-collar,married,primary,no,147,H-,226,1,2,168,failure,no
33,blue-collar,married,secondary,no,157,H-,110,1,1,182,failure,no
45,technician,married,secondary,no,3395,H-,92,1,1,188,failure,no
37,blue-collar,single,secondary,no,690,H-,105,1,2,179,failure,no
37,services,single,secondary,no,54,H-,328,2,1,131,failure,no
40,services,single,secondary,no,326,H-,124,1,1,175,failure,no
38,blue-collar,married,secondary,no,-288,HP,68,1,2,165,failure,no
41,technician,married,secondary,no,2123,--,232,1,2,102,failure,no
44,technician,married,secondary,no,1901,--,143,3,2,104,failure,no
41,blue-collar,married,secondary,no,1954,--,65,1,2,110,success,no
45,management,single,tertiary,no,16,--,100,1,2,110,failure,no
45,blue-collar,married,secondary,no,1678,H-,187,1,1,154,failure,no
34,management,divorced,tertiary,no,5754,H-,32,1,1,181,failure,no
52,admin.,divorced,secondary,no,2717,--,114,1,2,162,failure,no
43,entrepreneur,single,primary,no,103,H-,53,1,5,183,failure,no
37,management,married,primary,no,5427,--,201,1,1,159,failure,no
37,management,single,tertiary,no,1743,H-,192,1,2,113,failure,no
48,blue-collar,married,primary,no,1092,-P,79,1,8,172,failure,no
35,management,married,tertiary,no,4943,H-,295,1,2,124,failure,no
42,management,married,tertiary,no,2110,-P,67,1,2,110,failure,no
34,management,married,tertiary,no,63,--,83,1,2,102,failure,no
32,blue-collar,single,secondary,no,118,H-,216,1,1,124,success,no
50,self-employed,single,tertiary,no,21,H-,157,1,1,188,failure,no
30,management,married,tertiary,no,900,--,123,1,2,124,failure,no
55,services,married,secondary,no,3546,HP,588,1,2,110,failure,no
32,management,married,tertiary,no,1667,H-,164,2,3,179,failure,no
32,services,single,secondary,no,2251,HP,131,1,1,124,failure,no
44,technician,married,secondary,no,533,H-,127,1,2,110,failure,no
36,blue-collar,married,secondary,no,2894,H-,91,1,1,124,failure,no
34,management,married,tertiary,no,11,H-,123,1,1,124,failure,no
32,management,married,tertiary,no,3107,HP,165,2,1,116,failure,no
48,blue-collar,married,secondary,no,3008,HP,163,1,3,187,failure,no
48,management,single,tertiary,no,648,H-,290,1,2,110,failure,no
39,services,married,secondary,no,173,H-,96,2,2,182,failure,no
47,admin.,single,secondary,no,19,HP,90,2,1,123,failure,no
52,blue-collar,married,tertiary,no,297,H-,62,2,1,195,failure,no
59,technician,divorced,secondary,no,797,H-,319,2,2,165,failure,no
38,entrepreneur,married,tertiary,no,678,-P,82,2,1,152,failure,no
39,services,married,unknown,no,10189,H-,186,2,2,123,failure,no
54,blue-collar,married,secondary,no,506,H-,172,2,2,104,failure,no
51,management,married,tertiary,no,-516,H-,120,2,2,187,failure,no
47,blue-collar,married,primary,no,1533,-P,273,2,4,96,failure,no
34,blue-collar,married,primary,no,500,H-,240,2,1,182,failure,no
30,blue-collar,married,secondary,no,246,H-,166,2,5,113,failure,no
43,management,single,tertiary,no,-56,H-,146,2,14,151,failure,no
52,services,married,secondary,no,2257,H-,102,2,1,188,failure,no
36,blue-collar,married,secondary,no,402,-P,86,2,1,154,failure,no
39,management,married,secondary,no,517,H-,387,3,2,196,failure,no
45,management,single,tertiary,no,5694,H-,145,2,2,193,failure,no
54,self-employed,married,tertiary,no,368,--,74,2,4,110,failure,no
36,entrepreneur,single,secondary,no,296,--,67,2,2,111,failure,no
38,technician,married,secondary,no,508,H-,722,3,2,175,failure,no
44,technician,married,secondary,no,2626,H-,170,2,3,188,failure,no
59,entrepreneur,married,primary,no,124,H-,531,3,7,134,failure,no
40,admin.,single,secondary,no,2854,H-,354,2,1,169,failure,no
30,services,divorced,secondary,no,0,HP,174,2,3,111,failure,no
42,management,single,tertiary,no,1113,HP,89,2,12,162,failure,no
33,management,married,tertiary,no,1522,H-,171,2,3,179,failure,no
44,services,married,secondary,no,-236,H-,218,2,7,113,success,no
36,self-employed,single,tertiary,no,3560,--,658,3,2,169,failure,no
42,blue-collar,divorced,secondary,no,898,H-,136,2,1,131,failure,no
36,technician,divorced,secondary,no,556,H-,154,3,1,189,failure,no
53,self-employed,married,secondary,no,1066,H-,110,1,3,186,failure,no
52,self-employed,married,tertiary,no,5350,HP,68,2,4,110,success,no
40,technician,married,secondary,no,7313,H-,241,2,1,182,failure,no
30,technician,single,tertiary,no,0,H-,342,2,1,174,failure,no
45,services,married,secondary,no,1550,H-,143,2,6,166,failure,no
38,services,married,secondary,no,4392,--,23,2,2,110,failure,no
33,blue-collar,married,secondary,no,328,H-,160,2,1,182,failure,no
51,management,married,tertiary,no,1612,H-,61,2,1,131,failure,no
33,technician,married,tertiary,no,17455,HP,168,3,4,179,failure,no
32,blue-collar,married,secondary,no,491,H-,131,3,2,194,failure,no
32,services,married,secondary,no,3839,H-,100,2,1,189,failure,no
40,management,single,secondary,no,9916,--,411,3,1,8,failure,no
56,retired,married,secondary,no,728,--,163,2,15,110,failure,no
32,management,married,secondary,no,6217,HP,486,2,2,181,failure,no
41,admin.,married,secondary,no,1327,HP,425,2,2,176,failure,no
36,technician,married,secondary,no,-179,H-,476,2,1,124,failure,no
46,blue-collar,married,secondary,no,942,--,240,3,2,119,failure,no
34,blue-collar,married,secondary,no,3990,H-,591,2,7,117,failure,no
34,technician,single,tertiary,no,2047,H-,72,2,5,113,failure,no
30,management,married,tertiary,no,1185,H-,342,2,4,120,failure,no
30,admin.,single,secondary,no,2802,-P,285,2,2,137,failure,no
43,services,married,secondary,no,508,H-,200,1,1,172,failure,no
51,management,single,tertiary,no,6030,H-,157,2,3,110,failure,no
45,technician,divorced,secondary,no,-14,--,39,2,3,127,failure,no
46,management,divorced,tertiary,no,6269,H-,249,3,2,112,failure,no
30,blue-collar,married,secondary,no,1131,HP,189,1,5,144,failure,no
40,admin.,divorced,secondary,no,399,HP,166,3,2,96,failure,no
46,services,divorced,secondary,no,864,H-,105,5,2,188,failure,no
31,management,single,tertiary,no,3142,H-,235,1,1,123,failure,no
53,retired,married,secondary,no,1139,H-,180,1,6,186,failure,no
48,blue-collar,married,primary,no,214,HP,246,1,1,162,failure,no
34,blue-collar,married,secondary,no,1412,HP,149,1,2,175,failure,no
35,technician,married,secondary,no,2019,HP,83,2,1,144,failure,no
31,management,married,tertiary,no,1164,HP,141,2,3,123,failure,no
36,management,married,tertiary,no,369,--,193,4,2,102,failure,no
45,blue-collar,married,secondary,no,17,H-,66,1,14,152,failure,no
31,admin.,married,secondary,no,355,H-,530,1,1,193,failure,no
51,self-employed,married,primary,no,106,H-,366,3,2,110,failure,no
30,technician,married,secondary,no,-306,HP,372,1,1,186,failure,no
44,services,married,secondary,no,1106,H-,178,5,11,119,failure,no
41,entrepreneur,married,tertiary,no,171,H-,209,1,4,191,failure,no
58,self-employed,married,tertiary,no,8014,H-,697,2,3,184,failure,no
55,blue-collar,divorced,secondary,no,4053,--,113,1,2,166,failure,no
32,admin.,single,tertiary,no,1583,H-,100,1,1,182,failure,no
42,services,married,tertiary,no,412,H-,142,4,5,169,failure,no
30,management,married,tertiary,no,314,--,364,2,2,175,success,no
37,technician,married,secondary,no,7957,--,706,1,2,111,failure,no
32,services,divorced,secondary,no,1156,H-,81,1,1,182,failure,no
39,management,single,tertiary,no,1682,H-,147,1,1,170,failure,no
31,management,single,tertiary,no,3625,H-,112,1,2,180,failure,no
32,blue-collar,single,secondary,no,1721,H-,184,2,2,182,failure,no
45,management,married,secondary,no,38,H-,159,1,2,188,failure,no
33,management,single,tertiary,no,541,HP,140,1,1,182,failure,no
30,management,single,tertiary,no,54,HP,192,1,3,177,failure,no
31,management,married,tertiary,no,4924,H-,316,1,2,182,failure,no
54,management,married,tertiary,no,6525,H-,133,1,3,170,failure,no
33,management,married,tertiary,no,3696,--,305,1,3,182,failure,no
48,unemployed,married,secondary,no,1811,H-,137,4,3,111,failure,no
33,management,married,tertiary,no,0,H-,295,1,1,170,failure,no
32,blue-collar,married,secondary,no,2089,H-,192,1,1,5,success,no
40,management,married,tertiary,no,12409,H-,140,1,2,99,failure,no
52,retired,married,secondary,no,424,--,143,1,3,154,failure,no
31,technician,single,secondary,no,1186,H-,174,1,1,180,failure,no
35,management,married,tertiary,no,2801,H-,70,2,2,111,failure,no
32,management,single,tertiary,no,2667,H-,197,1,2,99,success,no
30,admin.,single,secondary,no,382,H-,369,1,1,191,failure,no
32,entrepreneur,married,tertiary,no,964,H-,130,1,2,120,failure,no
36,self-employed,married,secondary,no,189,H-,136,1,1,120,failure,no
52,self-employed,married,secondary,no,-201,-P,905,1,2,133,failure,no
45,management,divorced,secondary,no,644,H-,418,1,1,168,success,yes
43,management,married,tertiary,no,13044,--,215,1,4,93,failure,no
35,management,divorced,tertiary,no,771,HP,110,1,5,93,failure,no
39,technician,married,secondary,no,3494,H-,139,1,4,92,failure,no
49,management,married,tertiary,no,6613,--,106,1,3,155,failure,no
34,blue-collar,married,secondary,no,360,H-,46,1,2,182,failure,no
33,technician,married,secondary,no,1234,--,109,1,1,10,failure,no
45,technician,divorced,secondary,no,1309,H-,298,1,2,170,failure,no
30,management,single,tertiary,no,234,H-,206,1,2,169,failure,no
32,unemployed,single,tertiary,no,1611,H-,175,1,2,180,failure,no
40,self-employed,married,tertiary,no,2977,H-,375,1,1,125,failure,no
46,blue-collar,married,secondary,no,15,HP,46,2,3,91,failure,no
30,blue-collar,single,secondary,yes,447,--,426,2,6,189,failure,no
34,blue-collar,married,primary,no,2490,H-,185,2,1,180,failure,no
46,self-employed,married,tertiary,no,2421,--,1084,1,4,100,failure,yes
40,blue-collar,married,primary,no,4608,H-,111,2,1,156,failure,no
53,retired,married,tertiary,no,1452,-P,442,2,3,113,failure,no
38,technician,married,secondary,no,4030,H-,75,2,5,177,failure,no
32,technician,divorced,secondary,no,18,--,20,1,1,177,failure,no
40,student,married,secondary,no,260,--,52,1,6,152,failure,no
35,self-employed,single,tertiary,no,538,HP,308,1,9,195,failure,no
32,technician,married,secondary,no,524,--,100,1,1,106,failure,no
33,self-employed,married,tertiary,no,-103,H-,149,2,1,175,failure,no
33,management,single,tertiary,no,201,H-,171,1,1,183,failure,no
39,housemaid,married,secondary,no,1444,--,100,1,8,117,success,no
44,services,married,primary,no,1161,H-,402,1,5,184,failure,no
54,services,married,unknown,no,386,-P,74,1,1,152,success,no
59,housemaid,married,primary,no,935,H-,103,3,2,166,failure,no
45,management,single,secondary,no,142,-P,258,1,4,105,failure,no
37,blue-collar,married,secondary,no,1165,H-,62,3,4,190,success,no
58,blue-collar,divorced,primary,no,8218,H-,141,2,10,111,failure,no
42,self-employed,married,secondary,no,3211,--,87,2,1,111,failure,no
41,housemaid,single,secondary,no,2184,--,98,1,2,153,failure,no
40,unemployed,married,secondary,no,0,H-,332,1,1,183,failure,no
43,technician,divorced,secondary,no,6835,--,187,1,2,152,failure,no
44,technician,single,secondary,no,1195,H-,187,6,9,188,failure,no
58,blue-collar,married,primary,no,630,H-,59,1,1,174,failure,no
43,management,married,tertiary,no,1993,--,37,1,1,174,failure,no
58,blue-collar,married,secondary,no,590,-P,136,1,1,167,failure,no
39,management,married,secondary,no,6012,--,140,1,2,119,failure,no
52,blue-collar,married,secondary,no,7225,--,205,2,2,113,failure,no
54,self-employed,divorced,tertiary,no,1323,--,83,1,4,152,failure,no
53,technician,married,secondary,no,2818,H-,131,1,7,126,failure,no
48,blue-collar,married,secondary,no,-202,HP,565,1,4,112,failure,no
59,retired,married,secondary,no,32948,--,243,1,2,174,failure,no
33,entrepreneur,married,secondary,no,2,HP,17,5,1,198,failure,no
44,services,divorced,tertiary,no,2279,-P,105,1,1,146,failure,no
47,admin.,divorced,secondary,no,1939,H-,150,1,1,174,failure,no
45,blue-collar,married,secondary,no,2926,HP,482,3,2,120,failure,no
42,management,married,tertiary,no,783,H-,77,2,3,128,failure,no
30,blue-collar,married,primary,no,1101,HP,779,2,1,175,failure,no
59,retired,married,secondary,no,2291,-P,190,1,3,128,failure,no
46,entrepreneur,married,primary,no,8873,H-,172,1,2,118,failure,no
40,technician,married,secondary,no,657,H-,178,1,2,112,failure,no
37,blue-collar,married,primary,no,253,H-,59,2,2,153,failure,no
33,blue-collar,married,tertiary,no,6138,H-,384,1,1,183,failure,no
55,retired,married,secondary,no,3948,--,149,1,2,170,failure,no
46,unemployed,divorced,secondary,no,3354,H-,522,1,1,174,success,yes
45,self-employed,married,secondary,no,830,--,180,1,2,111,failure,no
33,self-employed,single,secondary,no,4,H-,136,2,2,180,failure,no
47,unemployed,married,secondary,no,351,HP,174,1,1,174,failure,no
35,blue-collar,married,secondary,no,86,--,127,1,2,111,failure,no
40,blue-collar,married,secondary,no,4853,--,259,1,2,111,failure,no
38,technician,single,secondary,no,884,HP,295,1,2,111,failure,no
59,retired,married,primary,no,741,--,194,2,2,152,failure,no
34,housemaid,married,tertiary,no,4958,H-,175,1,1,183,failure,no
46,entrepreneur,single,tertiary,no,1410,H-,93,1,8,189,failure,no
36,self-employed,married,tertiary,no,16430,H-,234,1,3,166,failure,no
52,self-employed,divorced,secondary,no,1291,H-,559,1,2,169,failure,no
57,blue-collar,married,secondary,no,5935,HP,90,2,1,198,failure,no
35,admin.,married,secondary,no,3187,H-,171,2,1,183,failure,no
59,management,married,primary,no,2769,H-,104,1,2,131,failure,no
33,blue-collar,married,primary,no,3512,H-,251,1,2,183,failure,no
56,services,married,primary,no,444,H-,88,1,1,166,failure,no
38,management,married,tertiary,no,5432,HP,408,1,1,183,failure,no
40,admin.,married,secondary,no,67,-P,359,2,5,152,failure,no
37,blue-collar,married,primary,no,3574,H-,178,1,2,170,failure,no
36,admin.,single,tertiary,no,2622,--,640,1,5,127,failure,no
50,management,married,secondary,no,2910,--,433,1,1,113,failure,no
38,blue-collar,married,primary,no,2240,H-,551,1,1,183,failure,no
37,technician,married,secondary,no,5902,H-,191,1,4,180,failure,no
34,admin.,married,tertiary,no,899,H-,377,3,4,7,success,no
50,admin.,married,secondary,no,167,-P,47,1,1,133,failure,no
54,unknown,divorced,tertiary,no,2272,H-,88,1,1,189,failure,no
56,admin.,divorced,secondary,no,-429,-P,120,2,4,119,failure,no
43,management,married,primary,no,8167,H-,202,2,2,184,failure,no
37,management,single,tertiary,no,5340,H-,101,2,4,104,failure,no
53,blue-collar,single,secondary,no,2430,HP,73,2,3,145,failure,no
40,admin.,single,secondary,no,664,--,188,2,2,121,success,no
50,management,married,tertiary,no,-470,H-,130,2,1,160,failure,no
30,management,married,tertiary,no,2451,H-,191,2,1,175,failure,no
58,retired,divorced,primary,no,2538,H-,680,2,6,111,failure,yes
54,retired,married,secondary,no,2626,--,221,2,2,190,failure,no
47,blue-collar,married,secondary,no,3696,H-,635,3,2,170,failure,no
39,management,married,tertiary,no,12855,H-,108,4,1,173,failure,no
39,management,single,tertiary,no,633,--,105,2,3,133,failure,no
50,blue-collar,married,tertiary,no,1784,--,1184,3,1,160,failure,no
52,technician,married,unknown,no,9687,H-,222,3,1,174,failure,no
39,management,divorced,tertiary,no,1315,H-,1337,4,1,126,failure,no
33,management,single,tertiary,no,923,H-,1307,3,6,173,failure,no
45,management,married,tertiary,no,7154,H-,93,3,3,111,failure,no
59,entrepreneur,married,primary,no,0,--,207,2,1,153,failure,no
53,management,married,tertiary,no,2578,--,299,4,2,107,failure,no
37,management,married,secondary,no,510,H-,67,2,6,90,failure,no
