Age,Annual Balance (Euros),Last Contact Duration (sec),Number of Contacts Performed for This Campaign,Number of Contacts Performed for Previous Campaign,Days Past Since Contacted by Last Campaign
41,1461,290,1,2,165
45,7108,53,1,3,172
48,4415,271,1,6,102
56,589,208,1,3,26
36,722,242,1,2,182
42,-247,104,2,2,28
37,0,173,1,6,179
35,5260,59,1,2,182
33,1769,273,1,1,182
46,4301,50,1,2,183
46,68,111,2,3,155
36,454,165,1,1,131
32,53,276,1,1,195
38,1515,134,1,5,110
37,561,188,1,2,165
59,2429,79,2,7,182
40,1155,175,1,1,138
59,14,319,2,1,182
36,0,300,1,4,96
51,1194,714,1,3,186
45,91,149,1,2,127
38,427,253,1,1,182
42,1958,129,1,3,172
30,3,54,1,1,195
51,146,150,2,3,126
37,3770,106,1,4,110
41,446,296,1,1,186
30,4787,266,1,2,167
36,1345,82,1,3,172
58,0,265,1,1,188
42,2273,253,1,2,112
41,1100,397,1,2,173
43,764,164,5,5,127
48,2877,77,1,1,168
30,-305,37,1,6,96
43,685,78,1,2,110
34,10,162,1,3,173
44,1880,34,1,6,124
36,0,103,1,2,175
33,596,77,1,3,127
47,829,48,1,1,188
47,3237,38,1,3,187
35,222,233,1,6,190
39,3732,515,1,2,181
39,585,48,1,3,181
31,2038,239,1,1,182
37,1316,389,1,2,172
50,-353,162,1,2,175
39,5009,255,1,2,126
56,0,100,1,2,154
30,83,118,2,1,196
53,19850,52,1,1,165
45,147,226,1,2,168
33,157,110,1,1,182
45,3395,92,1,1,188
37,690,105,1,2,179
37,54,328,2,1,131
40,326,124,1,1,175
38,-288,68,1,2,165
41,2123,232,1,2,102
44,1901,143,3,2,104
41,1954,65,1,2,110
45,16,100,1,2,110
45,1678,187,1,1,154
34,5754,32,1,1,181
52,2717,114,1,2,162
43,103,53,1,5,183
37,5427,201,1,1,159
37,1743,192,1,2,113
48,1092,79,1,8,172
35,4943,295,1,2,124
42,2110,67,1,2,110
34,63,83,1,2,102
32,118,216,1,1,124
50,21,157,1,1,188
30,900,123,1,2,124
55,3546,588,1,2,110
32,1667,164,2,3,179
32,2251,131,1,1,124
44,533,127,1,2,110
36,2894,91,1,1,124
34,11,123,1,1,124
32,3107,165,2,1,116
48,3008,163,1,3,187
48,648,290,1,2,110
39,173,96,2,2,182
47,19,90,2,1,123
52,297,62,2,1,195
59,797,319,2,2,165
38,678,82,2,1,152
39,10189,186,2,2,123
54,506,172,2,2,104
51,-516,120,2,2,187
47,1533,273,2,4,96
34,500,240,2,1,182
30,246,166,2,5,113
43,-56,146,2,14,151
52,2257,102,2,1,188
36,402,86,2,1,154
39,517,387,3,2,196
45,5694,145,2,2,193
54,368,74,2,4,110
36,296,67,2,2,111
38,508,722,3,2,175
44,2626,170,2,3,188
59,124,531,3,7,134
40,2854,354,2,1,169
30,0,174,2,3,111
42,1113,89,2,12,162
33,1522,171,2,3,179
44,-236,218,2,7,113
36,3560,658,3,2,169
42,898,136,2,1,131
36,556,154,3,1,189
53,1066,110,1,3,186
52,5350,68,2,4,110
40,7313,241,2,1,182
30,0,342,2,1,174
45,1550,143,2,6,166
38,4392,23,2,2,110
33,328,160,2,1,182
51,1612,61,2,1,131
33,17455,168,3,4,179
32,491,131,3,2,194
32,3839,100,2,1,189
40,9916,411,3,1,8
56,728,163,2,15,110
32,6217,486,2,2,181
41,1327,425,2,2,176
36,-179,476,2,1,124
46,942,240,3,2,119
34,3990,591,2,7,117
34,2047,72,2,5,113
30,1185,342,2,4,120
30,2802,285,2,2,137
43,508,200,1,1,172
51,6030,157,2,3,110
45,-14,39,2,3,127
46,6269,249,3,2,112
30,1131,189,1,5,144
40,399,166,3,2,96
46,864,105,5,2,188
31,3142,235,1,1,123
53,1139,180,1,6,186
48,214,246,1,1,162
34,1412,149,1,2,175
35,2019,83,2,1,144
31,1164,141,2,3,123
36,369,193,4,2,102
45,17,66,1,14,152
31,355,530,1,1,193
51,106,366,3,2,110
30,-306,372,1,1,186
44,1106,178,5,11,119
41,171,209,1,4,191
58,8014,697,2,3,184
55,4053,113,1,2,166
32,1583,100,1,1,182
42,412,142,4,5,169
30,314,364,2,2,175
37,7957,706,1,2,111
32,1156,81,1,1,182
39,1682,147,1,1,170
31,3625,112,1,2,180
32,1721,184,2,2,182
45,38,159,1,2,188
33,541,140,1,1,182
30,54,192,1,3,177
31,4924,316,1,2,182
54,6525,133,1,3,170
33,3696,305,1,3,182
48,1811,137,4,3,111
33,0,295,1,1,170
32,2089,192,1,1,5
40,12409,140,1,2,99
52,424,143,1,3,154
31,1186,174,1,1,180
35,2801,70,2,2,111
32,2667,197,1,2,99
30,382,369,1,1,191
32,964,130,1,2,120
36,189,136,1,1,120
52,-201,905,1,2,133
45,644,418,1,1,168
43,13044,215,1,4,93
35,771,110,1,5,93
39,3494,139,1,4,92
49,6613,106,1,3,155
34,360,46,1,2,182
33,1234,109,1,1,10
45,1309,298,1,2,170
30,234,206,1,2,169
32,1611,175,1,2,180
40,2977,375,1,1,125
46,15,46,2,3,91
30,447,426,2,6,189
34,2490,185,2,1,180
46,2421,1084,1,4,100
40,4608,111,2,1,156
53,1452,442,2,3,113
38,4030,75,2,5,177
32,18,20,1,1,177
40,260,52,1,6,152
35,538,308,1,9,195
32,524,100,1,1,106
33,-103,149,2,1,175
33,201,171,1,1,183
39,1444,100,1,8,117
44,1161,402,1,5,184
54,386,74,1,1,152
59,935,103,3,2,166
45,142,258,1,4,105
37,1165,62,3,4,190
58,8218,141,2,10,111
42,3211,87,2,1,111
41,2184,98,1,2,153
40,0,332,1,1,183
43,6835,187,1,2,152
44,1195,187,6,9,188
58,630,59,1,1,174
43,1993,37,1,1,174
58,590,136,1,1,167
39,6012,140,1,2,119
52,7225,205,2,2,113
54,1323,83,1,4,152
53,2818,131,1,7,126
48,-202,565,1,4,112
59,32948,243,1,2,174
33,2,17,5,1,198
44,2279,105,1,1,146
47,1939,150,1,1,174
45,2926,482,3,2,120
42,783,77,2,3,128
30,1101,779,2,1,175
59,2291,190,1,3,128
46,8873,172,1,2,118
40,657,178,1,2,112
37,253,59,2,2,153
33,6138,384,1,1,183
55,3948,149,1,2,170
46,3354,522,1,1,174
45,830,180,1,2,111
33,4,136,2,2,180
47,351,174,1,1,174
35,86,127,1,2,111
40,4853,259,1,2,111
38,884,295,1,2,111
59,741,194,2,2,152
34,4958,175,1,1,183
46,1410,93,1,8,189
36,16430,234,1,3,166
52,1291,559,1,2,169
57,5935,90,2,1,198
35,3187,171,2,1,183
59,2769,104,1,2,131
33,3512,251,1,2,183
56,444,88,1,1,166
38,5432,408,1,1,183
40,67,359,2,5,152
37,3574,178,1,2,170
36,2622,640,1,5,127
50,2910,433,1,1,113
38,2240,551,1,1,183
37,5902,191,1,4,180
34,899,377,3,4,7
50,167,47,1,1,133
54,2272,88,1,1,189
56,-429,120,2,4,119
43,8167,202,2,2,184
37,5340,101,2,4,104
53,2430,73,2,3,145
40,664,188,2,2,121
50,-470,130,2,1,160
30,2451,191,2,1,175
58,2538,680,2,6,111
54,2626,221,2,2,190
47,3696,635,3,2,170
39,12855,108,4,1,173
39,633,105,2,3,133
50,1784,1184,3,1,160
52,9687,222,3,1,174
39,1315,1337,4,1,126
33,923,1307,3,6,173
45,7154,93,3,3,111
59,0,207,2,1,153
53,2578,299,4,2,107
37,510,67,2,6,90
54,277,300,5,3,170
39,4692,214,2,2,174
39,4136,194,2,3,170
31,395,196,3,3,117
33,621,1435,3,5,99
49,4259,146,3,7,111
40,3352,639,2,1,27
35,552,314,2,1,124
35,31,131,3,3,133
44,6491,126,2,1,174
45,3689,517,2,3,187
44,1593,201,2,3,174
37,5287,599,4,2,100
55,625,88,2,4,147
38,898,80,5,2,198
35,867,298,2,3,171
31,1224,75,2,2,119
44,0,286,6,2,191
30,3100,125,1,4,183
32,344,179,1,1,197
30,809,26,5,2,171
35,146,392,2,2,106
32,4654,276,1,2,128
34,296,68,1,4,136
55,12159,142,2,2,174
38,5122,370,1,1,184
34,673,271,1,1,184
37,8135,358,1,1,184
41,2562,157,1,4,189
41,195,125,1,2,167
34,3119,505,1,4,183
35,935,71,1,2,176
30,5956,405,1,1,139
34,3185,93,1,1,191
31,481,106,2,2,183
39,660,180,1,2,185
52,57,45,1,1,196
42,3,47,1,1,190
40,572,67,1,2,91
33,3071,46,2,1,122
32,187,485,1,1,134
33,5151,73,1,4,178
32,2085,146,1,3,185
39,1104,333,2,2,105
39,892,34,1,1,171
45,96,167,1,1,127
32,574,171,1,2,127
50,0,152,1,1,190
47,1465,26,1,2,190
30,586,148,6,4,176
41,7735,220,1,1,190
37,264,276,1,1,157
30,501,994,1,1,177
38,215,70,1,1,167
48,4906,200,1,1,190
38,433,81,2,3,136
35,5304,340,1,2,183
34,797,88,1,1,126
31,450,111,2,4,129
39,519,149,1,14,155
31,1539,67,6,9,177
32,11512,301,1,1,183
52,1115,69,1,2,164
31,5607,183,2,1,184
30,1015,24,1,8,113
50,1878,45,2,11,181
41,98,180,1,6,122
46,0,531,1,1,167
37,862,85,1,2,122
46,3455,120,4,2,190
44,-230,352,1,1,177
36,-872,153,1,1,183
50,2590,281,2,6,195
55,10065,197,5,3,177
32,3201,98,1,5,178
34,273,308,1,1,188
35,-476,57,6,4,177
53,21522,83,3,4,149
55,166,324,7,4,153
37,-272,104,3,6,139
33,4465,161,1,2,183
33,557,89,1,1,91
40,4441,153,2,2,183
53,3815,75,2,3,149
47,2,661,4,1,190
33,2711,184,1,1,104
38,0,250,1,2,155
55,1102,195,1,2,189
57,2236,51,8,2,190
40,7711,190,5,1,135
34,1545,895,1,2,183
32,12686,176,1,1,170
38,1110,888,2,2,183
51,-153,72,2,4,92
37,836,223,1,2,177
44,7876,212,1,2,101
32,983,500,2,1,133
43,5704,154,3,2,106
33,3404,105,2,3,171
34,56,311,3,1,183
51,6659,191,2,1,189
58,5087,63,2,1,154
35,725,219,7,1,133
31,438,165,1,2,100
45,999,215,6,2,188
35,3888,207,5,5,178
52,3923,20,8,3,190
39,155,20,6,26,153
44,3060,113,1,2,189
40,9541,128,2,1,189
37,1016,195,3,1,8
38,3289,340,2,2,164
36,1954,158,2,3,174
50,3117,44,2,1,164
49,-471,77,3,7,185
31,3052,115,2,2,177
39,31,61,2,4,181
37,33,106,2,1,167
41,666,106,3,3,183
49,5095,127,2,1,157
53,111,600,3,2,189
36,3649,399,2,2,156
43,5670,43,4,2,189
34,1433,111,3,3,104
45,1273,206,2,3,162
32,6982,224,2,1,183
33,3514,214,2,2,184
32,2696,564,2,1,183
31,1887,225,2,1,183
47,3533,319,1,2,100
38,-3,251,2,3,101
35,142,315,2,4,196
39,889,78,2,4,185
58,5618,361,2,1,189
56,12,282,2,1,135
31,314,1341,3,7,178
35,0,197,4,1,30
34,4436,292,2,6,178
43,744,90,4,4,114
32,5252,232,2,2,183
51,4178,167,4,1,174
56,4763,233,4,6,115
36,3202,690,3,2,183
44,4580,192,2,2,189
46,676,825,6,4,174
53,3366,278,6,2,112
57,3499,104,4,3,175
30,111,86,3,1,133
55,6958,325,5,2,192
53,5558,81,6,3,189
35,356,20,5,7,114
45,460,312,3,1,157
31,5691,37,2,1,123
40,87,116,2,4,113
50,2564,124,4,8,113
37,1560,67,1,2,163
50,12519,615,3,1,34
36,62,50,2,2,121
58,5920,96,1,1,121
47,-813,85,2,25,158
39,5222,239,2,1,177
31,3967,859,1,1,182
45,2096,127,1,2,100
31,-405,846,1,2,100
47,0,591,1,1,10
42,2812,46,4,1,171
46,22,153,1,3,197
53,1945,22,4,7,106
32,1261,104,1,1,182
31,2198,423,2,2,172
46,-257,104,1,2,189
33,2481,113,1,2,101
33,255,588,2,2,184
59,7049,530,1,2,163
35,2040,258,1,4,157
30,1718,73,4,2,126
52,1752,346,4,8,123
40,2644,110,2,1,185
31,5,635,1,2,135
32,5267,183,1,2,168
30,239,302,2,8,95
44,701,103,1,2,141
31,159,66,1,1,182
34,966,393,1,3,101
48,4265,327,1,2,192
32,3050,58,1,1,182
49,13818,201,1,2,113
34,3679,146,1,1,101
31,8629,957,1,2,184
53,1777,796,5,1,154
34,-508,144,6,2,185
47,2944,57,7,5,154
52,2455,76,1,1,119
48,1375,73,1,2,172
40,19343,13,4,4,179
45,1738,79,1,2,106
54,230,401,1,2,100
30,274,105,5,2,102
38,1514,160,3,3,120
31,457,283,1,5,171
40,372,365,1,2,100
38,715,140,1,2,185
37,489,202,1,5,106
33,2456,552,3,1,127
45,2220,89,1,2,133
40,-605,79,1,1,171
53,1027,102,1,1,121
35,80,38,2,2,172
41,832,164,1,1,176
50,2497,35,1,1,176
31,3653,252,1,4,168
35,1129,64,2,2,184
33,86,183,3,1,186
31,1166,119,2,1,171
34,5553,798,2,5,182
49,771,264,2,1,172
47,333,118,1,4,113
37,2066,10,7,5,113
40,752,456,1,1,157
40,9374,7,8,1,185
51,11222,126,2,7,171
36,0,109,1,1,189
39,47,28,3,3,158
48,2697,82,1,5,179
38,554,45,1,4,101
36,210,62,1,2,127
39,26,52,1,4,179
33,920,58,1,4,122
39,1601,219,2,2,182
30,-559,531,1,1,184
43,-150,62,2,3,136
43,1440,149,1,1,175
38,505,119,1,2,157
57,2658,107,1,1,190
33,3269,381,1,1,126
33,335,347,1,2,184
32,253,76,1,3,170
47,1059,58,1,1,127
32,2737,44,4,1,182
58,26254,53,1,1,31
40,-616,182,1,2,157
39,158,183,1,2,168
38,1,57,5,1,199
52,2428,294,1,3,116
34,7,94,2,1,199
54,235,353,2,5,113
39,2319,48,1,1,137
41,6687,41,2,3,123
55,2227,148,3,3,172
32,1076,906,1,3,129
40,271,124,3,4,102
45,946,56,2,4,175
37,65,20,10,4,113
32,118,383,4,10,176
52,1065,224,2,1,175
57,3431,55,2,1,189
47,0,85,1,1,198
40,4025,139,2,4,129
32,874,366,3,6,101
31,111,504,2,2,93
41,1539,139,6,3,130
31,144,51,2,11,140
59,10054,175,3,6,100
55,4746,237,2,3,182
55,1580,82,5,1,155
40,0,43,1,2,185
30,9634,402,4,5,101
32,73,158,1,1,135
45,0,173,1,1,192
34,892,177,2,1,184
58,50,675,4,4,171
37,105,197,2,4,157
32,752,82,4,1,191
40,1200,163,2,8,156
52,4793,61,3,2,168
45,302,22,2,4,154
41,2125,285,3,4,116
42,8131,173,4,1,175
34,714,122,3,4,193
43,738,585,4,4,191
37,363,39,4,3,182
55,1241,48,7,5,154
58,1602,1032,10,3,115
36,396,64,2,5,100
33,558,258,2,3,93
31,2085,639,2,4,93
30,817,208,3,4,91
40,877,12,3,6,177
35,538,109,2,4,193
50,4374,163,2,3,113
42,-571,136,2,4,179
33,1903,337,2,3,182
45,392,391,2,2,127
32,3181,118,2,7,176
35,1183,21,3,2,185
33,0,211,7,8,94
42,484,321,3,3,127
50,0,281,2,2,191
34,714,328,4,27,113
41,0,12,5,1,190
47,333,8,5,1,137
37,2173,158,3,1,114
37,3111,9,3,2,185
53,173,412,2,1,143
57,4664,22,4,1,114
46,0,234,5,5,102
37,0,11,3,1,175
38,1063,51,5,2,113
34,2720,147,2,3,179
36,0,72,3,4,29
50,-315,61,7,1,136
50,797,205,3,8,119
59,2143,59,1,1,268
40,378,260,1,2,268
42,759,97,1,3,169
43,87,130,1,2,247
38,316,223,1,2,247
43,323,159,1,1,226
43,626,72,1,2,167
38,67,74,1,2,239
48,651,228,1,2,196
53,392,70,1,1,245
33,-354,104,1,2,245
46,557,148,1,4,197
57,362,91,1,1,231
52,393,446,1,8,182
43,344,282,1,2,238
48,0,123,1,1,204
43,2478,347,1,1,230
52,425,219,2,3,254
33,4012,90,1,4,265
47,1452,181,1,2,177
53,1672,176,1,1,189
52,98,103,1,2,245
58,374,223,1,1,196
54,1129,242,1,8,184
56,-246,461,2,2,204
31,20,304,1,1,71
38,105,158,1,2,265
38,1066,86,1,1,189
51,176,214,1,2,183
44,429,99,1,4,246
53,554,48,1,5,181
60,362,326,1,6,183
35,436,507,1,4,184
52,370,144,1,2,197
48,-295,121,1,2,190
57,1316,221,2,5,182
57,297,120,2,16,154
37,62,252,2,2,268
54,876,66,2,3,198
59,1455,222,2,1,191
44,3463,290,2,3,153
30,732,445,1,1,223
37,417,389,1,5,181
48,547,74,1,2,176
41,1616,229,1,7,184
47,487,218,2,1,177
59,699,98,1,6,154
55,3207,158,2,12,153
49,177,90,1,1,204
42,799,234,1,6,181
56,-528,290,2,2,184
26,0,148,2,2,258
52,1392,1121,2,3,205
44,-199,692,2,3,247
50,-70,391,2,1,191
40,366,168,2,1,205
47,644,54,3,13,160
29,376,49,3,4,183
51,413,82,2,2,254
49,557,145,1,5,223
31,86,100,1,4,170
34,1988,53,1,2,266
57,1504,52,1,2,245
33,459,241,1,2,266
35,-259,381,1,2,247
60,2041,123,1,7,185
33,13,111,1,2,247
32,0,223,1,2,261
46,120,121,1,3,259
36,532,391,1,1,241
36,-290,150,1,3,189
34,673,89,1,2,260
39,272,199,1,2,234
48,133,451,1,1,197
34,557,354,1,1,197
36,36,227,1,6,261
36,313,167,2,1,198
36,498,151,1,1,253
36,319,29,1,1,266
46,521,246,1,3,226
45,-90,128,1,1,192
35,149,99,1,2,245
60,478,139,1,5,171
37,345,344,1,2,188
33,893,259,1,9,259
50,567,50,1,8,258
46,294,444,1,1,196
59,1857,386,1,4,168
30,1422,305,1,27,223
27,254,194,1,1,188
39,547,317,2,4,260
51,0,121,1,2,244
41,1322,58,1,1,266
35,111,55,1,3,195
53,388,67,1,1,247
34,498,84,1,2,251
55,273,84,3,3,183
37,1330,41,2,1,261
28,-97,79,1,2,225
42,299,305,2,2,261
31,424,106,1,2,161
31,732,542,1,1,241
38,-274,103,1,2,247
48,1496,284,2,2,258
39,263,160,1,6,199
34,303,50,1,2,195
53,1405,140,1,1,244
34,16992,71,1,1,245
36,-557,484,1,1,253
33,1345,257,1,3,262
35,1239,112,1,1,195
29,246,61,1,1,265
37,1694,404,2,6,251
44,5418,188,1,5,185
46,660,1026,1,2,259
40,94,121,1,1,245
30,193,326,1,2,244
45,487,117,1,4,163
29,2768,69,1,4,241
41,1141,75,1,1,247
32,160,48,1,1,265
31,1025,93,1,3,254
31,360,89,1,1,241
40,351,338,1,3,254
34,391,77,1,2,265
37,183,51,1,1,258
35,175,219,1,1,246
28,0,379,1,1,192
39,648,85,2,1,240
28,1391,462,2,1,247
59,2365,36,1,4,188
44,149,507,1,2,220
56,420,129,1,1,265
50,2061,197,2,3,244
34,341,136,1,3,262
34,381,83,1,1,262
31,678,249,1,4,259
36,658,99,1,3,227
35,1242,141,1,3,245
26,-402,66,2,2,262
39,1099,211,2,6,245
35,147,41,1,7,184
32,1139,57,1,1,191
53,354,133,1,2,226
38,406,138,1,5,188
45,300,203,1,3,261
34,349,133,2,3,185
55,2923,94,1,2,259
59,671,219,2,5,259
53,367,155,1,2,261
39,208,81,1,2,240
60,-49,188,1,2,261
53,246,158,2,1,247
38,16957,208,1,2,247
28,232,72,1,1,261
40,4168,91,1,3,223
26,155,291,1,4,244
46,-3,79,2,2,265
45,398,227,1,5,246
56,6507,134,1,1,196
28,882,94,1,2,205
40,56,194,1,1,247
58,1298,522,2,4,245
28,527,161,2,1,265
30,-61,111,2,1,196
41,-29,41,2,2,266
32,2213,125,2,7,154
49,145,57,2,38,248
47,-337,243,4,2,161
27,261,236,2,2,247
28,-214,228,2,3,262
57,-676,100,2,1,247
32,317,452,2,2,253
38,531,214,3,7,226
30,9,194,2,2,205
29,370,119,2,5,251
31,0,120,2,2,160
56,29,52,2,1,227
44,488,138,2,11,183
34,-211,135,2,5,184
33,902,207,2,2,247
36,1508,187,2,8,185
26,43,169,3,1,246
28,24,284,2,2,196
33,772,323,2,3,259
57,1016,462,2,5,234
29,1366,90,2,3,245
32,356,56,2,5,223
37,414,293,2,4,162
40,822,155,2,3,245
48,101,414,2,3,192
45,-55,78,3,1,197
27,81,123,2,2,205
31,702,157,3,29,182
37,1120,88,3,5,244
33,303,483,2,1,266
57,77,168,3,2,246
47,1225,191,3,2,227
28,8,389,2,3,254
39,1333,585,2,1,246
31,10,161,3,9,188
49,61,185,2,1,246
33,880,263,3,1,239
39,360,325,2,2,260
54,263,283,4,7,195
35,297,251,3,4,265
26,249,235,3,5,262
31,1724,152,2,1,254
31,442,355,3,3,258
46,-154,150,2,2,247
27,223,253,2,3,192
30,1712,213,3,2,190
36,1053,99,1,1,259
35,6411,144,1,2,266
35,951,163,1,1,254
46,802,445,1,1,189
28,-247,121,1,2,240
49,342,433,2,1,228
59,879,126,5,7,259
29,737,499,5,1,248
35,364,162,3,3,205
35,2144,146,2,2,262
34,1301,196,2,2,189
47,405,236,1,1,260
26,3154,350,3,1,248
31,236,200,1,1,259
33,525,499,1,1,247
29,957,258,2,3,263
54,1555,258,5,2,248
50,0,199,1,1,205
55,851,138,1,2,270
39,1492,227,1,1,189
51,5699,436,1,2,270
52,109,177,4,2,248
33,457,159,1,4,191
36,511,706,1,1,252
36,317,198,2,2,266
52,1355,131,1,1,241
33,22,76,2,1,207
57,2549,456,3,2,197
39,-735,144,5,2,248
45,-61,90,5,1,172
51,0,150,1,1,252
57,1276,44,1,4,200
53,-375,103,1,1,252
37,-175,638,4,1,266
49,163,281,2,3,269
56,2190,90,2,1,232
26,512,206,5,3,239
41,-333,118,3,2,270
31,227,154,6,3,263
46,665,89,4,2,235
31,358,68,3,51,256
41,692,249,3,3,245
33,1071,84,2,4,174
36,265,88,1,1,273
53,660,210,1,2,272
44,294,246,1,2,259
40,1646,215,1,2,242
31,1130,181,1,3,264
46,363,346,1,3,180
47,349,112,1,1,273
37,89,393,1,4,245
32,1,75,1,1,208
46,-179,151,1,2,214
47,129,110,2,2,222
38,757,133,1,1,272
56,218,113,2,2,249
37,520,54,1,2,255
55,5,269,1,2,206
45,1097,174,1,1,208
39,0,731,1,3,193
52,279,72,1,3,203
36,367,217,1,1,221
39,1222,251,1,2,242
44,0,699,1,1,272
53,451,125,1,2,249
26,3244,141,1,1,5
51,1490,177,1,2,199
47,207,244,1,4,271
49,-367,98,1,1,207
37,506,446,2,1,273
40,123,247,1,3,241
45,430,221,1,2,206
48,578,70,1,1,250
45,221,93,1,1,235
58,1103,226,1,4,202
47,332,276,1,1,269
60,358,95,1,2,216
40,97,73,1,1,252
36,-94,185,1,2,252
31,256,264,1,2,201
54,514,109,1,3,186
40,507,134,1,7,266
39,614,166,1,1,258
31,44,200,5,2,175
32,289,63,1,2,257
47,583,495,1,2,258
34,-271,90,1,2,252
38,304,238,1,1,214
38,447,224,1,1,269
40,407,200,1,1,271
56,778,315,2,1,208
36,533,619,1,1,272
60,553,343,1,3,210
56,659,148,1,3,188
37,174,134,1,2,271
53,478,66,1,2,264
45,-75,134,1,1,252
48,51,90,1,1,262
47,15,71,1,4,266
53,798,45,1,2,217
54,534,165,1,4,188
38,-196,60,1,1,271
54,719,242,1,1,264
31,442,69,1,2,270
42,336,142,6,3,195
38,8876,280,1,1,75
31,5,75,1,1,206
26,0,145,1,1,199
37,10,164,1,2,250
38,290,123,1,1,258
55,621,114,1,1,208
33,474,62,1,3,179
40,504,96,1,1,266
34,50,173,1,2,258
39,-145,268,2,2,196
45,474,190,4,4,264
60,174,157,2,1,252
36,82,124,1,4,178
57,11,261,1,3,265
49,359,231,2,1,271
37,59,319,1,1,213
40,687,531,1,1,208
48,303,142,1,4,189
49,147,559,1,4,189
35,630,134,1,2,271
43,1109,115,3,2,264
48,-535,115,2,2,187
43,597,87,1,1,263
38,103,159,1,3,187
31,783,221,2,1,272
32,453,544,1,2,269
37,494,247,2,3,269
60,292,260,5,4,195
32,2004,141,1,1,75
37,230,120,2,1,272
45,1214,150,2,2,189
35,1526,236,2,4,217
56,5838,116,2,2,230
31,3283,258,1,1,73
31,671,119,2,2,175
57,589,223,1,4,76
29,-498,99,3,14,227
38,569,164,2,2,272
43,-247,751,2,4,76
34,4,105,2,1,263
42,477,413,2,3,242
53,598,340,3,2,264
47,1167,139,3,2,73
57,485,79,2,2,187
41,320,844,2,1,252
38,581,223,2,1,272
46,-221,219,2,1,244
46,317,24,7,1,250
37,247,192,2,1,208
35,287,115,3,8,245
58,8266,98,2,1,271
46,1028,96,2,1,208
28,7459,981,5,2,269
35,220,153,4,13,244
